trial,instr,fired_lanes,n_fired,ct0,ct1,ct2,ct3,diff_count_0,diff_count_1,diff_count_2,diff_count_3,col_0,col_1,col_2,col_3
i5248,5248,"0,1,2,3",4,392a841dd3dc09fbdc1185e9196aca32,8ddbe9aaddc7573a27d8d0b6d6e49b4b,2f54671c18b81b2f435d9b5c0e351ec1,e136676b2813d87d83edb9b9f7b8cff4,4,4,4,4,1,1,1,1
i5252,5252,"0,2,3",3,3925841d20dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c37b81b2f435d9b650e35b8c1,e16b676b2513d87d83edb9aef7b847f4,1,0,1,1,-1,-1,-1,-1
i5256,5256,"0,2,3",3,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5260,5260,1,1,3925841d02dc09fbdc118597196a0b32,8df4e9aa2ac7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,1,0,0,-1,-1,-1,-1
i5264,5264,1,1,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5268,5268,"0,1,2,3",4,3925841deddc09fbdc118597196a0b32,8df4e9aa3ac7573a27d8d055d6e4d64b,2f49671c44b81b2f435d9b650e35b8c1,e16b676ba213d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5272,5272,"0,1,2,3",4,3925841deddc09fbdc118597196a0b32,8df4e9aa3ac7573a27d8d055d6e4d64b,2f49671c44b81b2f435d9b650e35b8c1,e16b676ba213d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5276,5276,"1,3",2,3925841d02dc09fbdc118597196a0b32,8ddbe9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e136676be413d87d83edb9aef7b847f4,0,1,0,1,-1,-1,-1,-1
i5280,5280,"0,1,2,3",4,3925841d02dc09fbdc118597196aca32,8df4e9aac5c7573a27d8d055d6e49b4b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b8cff4,1,1,0,1,-1,-1,-1,-1
i5284,5284,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5288,5288,2,1,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e351ec1,e16b676be413d87d83edb9aef7b847f4,0,0,1,0,-1,-1,-1,-1
i5292,5292,"0,1,2,3",4,3925841d02dc09fbdc118597196aca32,8df4e9aac5c7573a27d8d055d6e49b4b,2f49671c7ab81b2f435d9b650e351ec1,e16b676be413d87d83edb9aef7b8cff4,1,1,1,1,-1,-1,-1,-1
i5296,5296,"0,1,2,3",4,3925841d02dc09fbdc118513196a0b32,8df4e9aac5c7573a27d8d057d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,1,1,0,0,-1,-1,-1,-1
